,status,price,bed,bath,acre_lot,state,zip_code,house_size,sold_date
205,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
206,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
207,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
208,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
209,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
210,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
211,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
212,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
213,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
214,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
215,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
216,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
217,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
218,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
219,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
220,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
221,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
222,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
223,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
224,for_sale,519000.0,4.0,3.0,0.54,New York,12518.0,2612.0,2020-01-13
225,for_sale,424900.0,3.0,2.0,0.23,New Jersey,8055.0,1964.0,2020-01-13
226,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
227,for_sale,424900.0,3.0,2.0,0.23,New Jersey,8055.0,1964.0,2020-01-13
228,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
229,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
230,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
231,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
232,for_sale,424900.0,3.0,2.0,0.23,New Jersey,8055.0,1964.0,2020-01-13
233,for_sale,424900.0,3.0,2.0,0.23,New Jersey,8055.0,1964.0,2020-01-13
234,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
235,for_sale,450000.0,4.0,3.0,1.62,Connecticut,6019.0,2893.0,2020-01-13
236,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
237,for_sale,415000.0,4.0,3.0,1.91,Connecticut,6354.0,2888.0,2020-01-13
238,for_sale,250000.0,3.0,2.0,0.18,Connecticut,6517.0,1041.0,2020-01-14
239,for_sale,465000.0,4.0,2.0,0.17,New Jersey,7734.0,1845.0,2020-01-14
240,for_sale,325000.0,12.0,2.0,0.09,Connecticut,6610.0,2226.0,2020-01-14
241,for_sale,250000.0,3.0,2.0,0.18,Connecticut,6517.0,1041.0,2020-01-14
242,for_sale,289900.0,3.0,2.0,0.03,Pennsylvania,19134.0,1332.0,2020-01-14
243,for_sale,325000.0,4.0,3.0,0.33,New Jersey,8052.0,2047.0,2020-01-14
244,for_sale,465000.0,4.0,2.0,0.17,New Jersey,7734.0,1845.0,2020-01-14
245,for_sale,465000.0,4.0,2.0,0.17,New Jersey,7734.0,1845.0,2020-01-14
246,for_sale,325000.0,12.0,2.0,0.09,Connecticut,6610.0,2226.0,2020-01-14
247,for_sale,465000.0,4.0,2.0,0.17,New Jersey,7734.0,1845.0,2020-01-14
248,for_sale,325000.0,12.0,2.0,0.09,Connecticut,6610.0,2226.0,2020-01-14
249,for_sale,465000.0,4.0,2.0,0.17,New Jersey,7734.0,1845.0,2020-01-14
250,for_sale,325000.0,4.0,3.0,0.33,New Jersey,8052.0,2047.0,2020-01-14
251,for_sale,250000.0,3.0,2.0,0.18,Connecticut,6517.0,1041.0,2020-01-14
252,for_sale,625000.0,4.0,4.0,0.49,Pennsylvania,19311.0,4532.0,2020-01-14
253,for_sale,250000.0,3.0,2.0,0.18,Connecticut,6517.0,1041.0,2020-01-14
254,for_sale,289900.0,3.0,2.0,0.03,Pennsylvania,19134.0,1332.0,2020-01-14
255,for_sale,250000.0,3.0,2.0,0.18,Connecticut,6517.0,1041.0,2020-01-14
256,for_sale,469900.0,5.0,,0.19,Connecticut,6702.0,3642.0,2020-01-15
257,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
258,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
259,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
260,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
261,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
262,for_sale,499000.0,3.0,2.0,1.51,Connecticut,6877.0,1170.0,2020-01-15
263,for_sale,469900.0,5.0,,0.19,Connecticut,6702.0,3642.0,2020-01-15
264,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
265,for_sale,1300000.0,2.0,2.0,0.16,New Jersey,8724.0,1477.0,2020-01-15
266,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
